Time (MS),Core Type,Frequency
27500,large, 2704000.0
27600,large, 2704000.0
27700,large, 2704000.0
27800,large, 2704000.0
27900,large, 2704000.0
28000,large, 2704000.0
28100,large, 2704000.0
28200,large, 2704000.0
28300,large, 2704000.0
28400,large, 2704000.0
28500,large, 2704000.0
28600,large, 2704000.0
28700,large, 2704000.0
28800,large, 2704000.0
28900,large, 2704000.0
29000,large, 2704000.0
29100,large, 2704000.0
29200,large, 2704000.0
29300,large, 2704000.0
29400,large, 2704000.0
29500,large, 2704000.0
29600,large, 2704000.0
29700,large, 2704000.0
29800,large, 2704000.0
29900,large, 2704000.0
30000,large, 2704000.0
30100,large, 2704000.0
30200,large, 2704000.0
30300,large, 2704000.0
30400,large, 2704000.0
30500,large, 2704000.0
30600,large, 2704000.0
30700,large, 2704000.0
30800,large, 2704000.0
30900,large, 2704000.0
31000,large, 2704000.0
31100,large, 2704000.0
31200,large, 2704000.0
31300,large, 2704000.0
31400,large, 2704000.0
31500,large, 2704000.0
31600,large, 2704000.0
31700,large, 2704000.0
31800,large, 2704000.0
31900,large, 2704000.0
32000,large, 2704000.0
32100,large, 2704000.0
32200,large, 2704000.0
32300,large, 2704000.0
32400,large, 2704000.0
32500,large, 2704000.0
32600,large, 2704000.0
32700,large, 2704000.0
32800,large, 2704000.0
32900,large, 2704000.0
33000,large, 2704000.0
33100,large, 2704000.0
33200,large, 2704000.0
33300,large, 2704000.0
33400,large, 2704000.0
33500,large, 2704000.0
33600,large, 2704000.0
33700,large, 2704000.0
33800,large, 2704000.0
33900,large, 2704000.0
34000,large, 2704000.0
34100,large, 2704000.0
34200,large, 2704000.0
34300,large, 2704000.0
34400,large, 2704000.0
34500,large, 2704000.0
34600,large, 2704000.0
34700,large, 2704000.0
34800,large, 2704000.0
34900,large, 2704000.0
35000,large, 2704000.0
35100,large, 2704000.0
35200,large, 2704000.0
35300,large, 2704000.0
35400,large, 2704000.0
35500,large, 2704000.0
35600,large, 2704000.0
35700,large, 2704000.0
35800,large, 2704000.0
35900,large, 2704000.0
36000,large, 2704000.0
36100,large, 2704000.0
36200,large, 2704000.0
36300,large, 2704000.0
36400,large, 2704000.0
36500,large, 2704000.0
36600,large, 2704000.0
36700,large, 2704000.0
36800,large, 2704000.0
36900,large, 2704000.0
37000,large, 2704000.0
37100,large, 2704000.0
37200,large, 2704000.0
37300,large, 2704000.0
37400,large, 2704000.0
37500,large, 2704000.0
37600,large, 2704000.0
37700,large, 2704000.0
37800,large, 2704000.0
37900,large, 2704000.0
38000,large, 2704000.0
38100,large, 2704000.0
38200,large, 2704000.0
38300,large, 2704000.0
38400,large, 2704000.0
38500,large, 2704000.0
38600,large, 2704000.0
38700,large, 2704000.0
38800,large, 2704000.0
38900,large, 2507000.0
39000,large, 2401000.0
39100,large, 2401000.0
39200,large, 2704000.0
39300,large, 2704000.0
39400,large, 2704000.0
39500,large, 2704000.0
39600,large, 2704000.0
39700,large, 2704000.0
39800,large, 2704000.0
39900,large, 2704000.0
40000,large, 2704000.0
40100,large, 2704000.0
40200,large, 2704000.0
40300,large, 2704000.0
40400,large, 2704000.0
40500,large, 2704000.0
40600,large, 2704000.0
40700,large, 2704000.0
40800,large, 2704000.0
40900,large, 2704000.0
41000,large, 2704000.0
41100,large, 2704000.0
41200,large, 2704000.0
41300,large, 2704000.0
41400,large, 2704000.0
41500,large, 2704000.0
41600,large, 2704000.0
41700,large, 2704000.0
41800,large, 2704000.0
41900,large, 2704000.0
42000,large, 2704000.0
42100,large, 2704000.0
42200,large, 2704000.0
42300,large, 2704000.0
42400,large, 2704000.0
42500,large, 2704000.0
42600,large, 2704000.0
42700,large, 2704000.0
42800,large, 2704000.0
42900,large, 2704000.0
